Place,Year,Occurrences
פריז,1993,3
פריז,1994,4
פריז,1995,1
פריז,1996,1
פריז,1997,3
פריז,1999,6
פריז,2000,8
פריז,2001,2
פריז,2002,3
פריז,2003,16
פריז,2004,2
פריז,2005,2
פריז,2006,3
פריז,2007,4
פריז,2008,8
פריז,2009,5
פריז,2010,4
פריז,2011,4
פריז,2012,2
פריז,2013,3
פריז,2014,3
פריז,2015,15
פריז,2016,6
פריז,2017,6
פריז,2018,1
פתח תקווה,0,8
פתח תקווה,1959,1
פתח תקווה,1960,1
פתח תקווה,1968,3
פתח תקווה,1973,1
פתח תקווה,1993,1
פתח תקווה,1995,1
פתח תקווה,2004,2
פתח תקווה,2006,1
פתח תקווה,2007,1
פתח תקווה,2015,2
צ'צ'ניה,0,2
צ'רנוביץ,0,2
צדק,0,1
צדק,2000,1
צדק,2017,1
צומת קסטינה,0,1
צומת קסטינה,2003,1
ציריך,0,1
ציריך,1997,1
ציריך,2005,1
ציריך,2006,1
ציריך,2008,1
ציריך,2014,1
צפת,0,24
צפת,1946,2
צפת,1961,2
צפת,1965,2
צפת,1969,1
צפת,1973,1
צפת,1981,3
צפת,1987,1
צפת,1992,2
צפת,2000,5
צפת,2006,1
צפת,2009,1
צפת,2017,1
צרפת,0,27
צרפת,1957,2
צרפת,1962,1
צרפת,1965,1
צרפת,1967,1
צרפת,1968,2
צרפת,1970,1
צרפת,1971,1
צרפת,1979,1
צרפת,1982,1
צרפת,1991,4
צרפת,1992,1
צרפת,1993,3
צרפת,1998,2
צרפת,2000,2
צרפת,2003,3
צרפת,2004,3
צרפת,2007,1
צרפת,2010,5
צרפת,2017,1
צרפת,2018,2
קאבול,0,1
קאבול,1988,1
קאבול,2010,1
קאן,0,4
קאן,1988,1
קאן,2019,1
קדומים,0,1
קדומים,1998,1
קדימה,0,2
קדימה,1965,2
קדימה,1977,1
קדימה,1978,1
קדימה,1990,1
קדימה,2007,1
קהיר,0,24
קהיר,1964,1
קהיר,1965,1
קהיר,1966,3
קהיר,1967,2
קהיר,1968,1
קהיר,1975,3
קהיר,1980,1
קהיר,1985,2
קהיר,1987,1
קהיר,1992,1
קהיר,1998,1
קהיר,2000,7
קהיר,2001,1
קהיר,2002,3
קהיר,2004,1
קהיר,2009,1
קהיר,2012,1
קהיר,2015,1
קהיר,2016,1
קהיר,2018,1
קואלה לומפור,2001,1
קובה,0,3
קובה,2000,1
קולומביה,0,5
קולומביה,2012,1
קולומביה,2017,1
קולורדו,0,2
קונגו,0,2
קונגו,1991,1
קופנהאגן,0,1
קופנהאגן,1991,1
קוריאה,0,4
קוריאה,1962,1
קוריאה,2005,1
קוריאה,2014,1
קטמון,0,1
קטמון,1957,1
קטמון,1967,1
קטמון,1968,1
קטמון,1969,2
קטמון,1979,2
קטמון,2016,1
קטמנדו,1988,2
קטמנדו,1998,3
קיטו,0,1
קיטו,2015,1
קייב,0,1
קייב,1973,1
קייב,1991,1
קייב,1995,2
קייב,2007,1
קייב,2009,1
קייב,2013,1
קייב,2015,1
קינגסטון,1960,1
קינגסטון,2005,1
קיסריה,0,7
קיסריה,1951,1
קיסריה,1958,1
קיסריה,1973,1
קיסריה,2005,2
קיסריה,2007,3
קיסריה,2017,2
קליפורניה,0,10
קליפורניה,1990,2
קליפורניה,1997,1
קליפורניה,2006,7
קליפורניה,2007,1
קליפורניה,2008,1
קליפורניה,2010,2
קליפורניה,2016,1
קליפורניה,2018,1
קלקיליה,0,2
קלקיליה,1991,4
קמבודיה,1950,1
קמבודיה,1969,1
קמבודיה,1971,1
קמרון,2003,2
קנדה,0,6
קנדה,1968,2
קנדה,1969,1
קנדה,1970,1
קנדה,1974,2
קנדה,1979,1
קנדה,2001,1
קנדה,2006,1
קנדה,2016,1
קנדה,2017,1
קנזס,0,1
קפריסין,0,6
קפריסין,1949,2
קפריסין,1967,1
קפריסין,1969,1
קפריסין,1979,1
קפריסין,1987,1
קפריסין,1988,1
קפריסין,2003,1
קפריסין,2016,1
קרוליינה,0,2
קריית שמונה,0,4
קריית שמונה,1975,1
קריית שמונה,1998,3
קרים,0,1
קרים,1980,1
קרים,1989,1
קרים,2012,1
קרמלין,0,1
קרקוב,0,1
קרקוב,2005,2
קשמיר,0,4
קשמיר,1969,1
קשמיר,1987,1
קשמיר,1991,3
קשמיר,1996,1
קשמיר,2000,1
קשמיר,2006,7
קשמיר,2014,1
קשמיר,2019,1
ראש פינה,1998,1
ראש פינה,2003,1
ראש פינה,2004,1
ראשון לציון,2006,1
ראשון לציון,2007,1
רהט,2012,1
רהט,2016,1
רוד איילנד,0,2
רומא,0,29
רומא,1950,1
רומא,1953,1
רומא,1971,5
רומא,1972,1
רומא,1975,1
רומא,1977,1
רומא,1979,1
רומא,1981,1
רומא,1982,2
רומא,1984,3
רומא,1985,2
רומא,1988,1
רומא,1992,1
רומא,1993,1
רומא,1995,2
רומא,1996,1
רומא,1997,1
רומא,1999,1
רומא,2000,4
רומא,2001,1
רומא,2003,2
רומא,2004,1
רומא,2005,1
רומא,2006,3
רומא,2007,1
רומא,2008,3
רומא,2010,2
רומא,2013,1
רומא,2015,9
רומא,2016,1
רומא,2018,2
רומא,2019,1
רוסיה,0,2
רחובות,0,7
רחובות,1968,3
רחובות,2009,1
ריו,0,3
ריו,1971,3
ריו,1982,3
ריו,1983,1
ריו,1990,1
ריו,1994,1
ריו,1999,2
ריו,2000,1
ריו,2001,1
ריו,2015,1
רמאללה,0,5
רמאללה,1969,2
רמאללה,1970,1
רמאללה,1973,1
רמאללה,1988,2
רמאללה,1998,1
רמאללה,2000,3
רמאללה,2002,2
רמאללה,2003,1
רמאללה,2005,3
רמאללה,2007,1
רמלה,0,14
רמלה,1959,1
רמלה,1979,2
רמלה,1992,1
רמלה,2000,2
רמלה,2004,1
רמלה,2005,1
רמלה,2011,1
רמלה,2013,1
רמלה,2014,1
רמלה,2016,2
רמלה,2017,3
רמת גן,0,8
רמת הגולן,1972,1
רמת השרון,0,2
רמת השרון,1998,1
רמת השרון,2006,1
רמת השרון,2007,1
רעננה,1965,1
רעננה,1972,1
רעננה,1977,1
רפיח,0,7
רפיח,1961,1
רפיח,1966,1
רפיח,1967,1
רפיח,1970,3
רפיח,1974,1
רפיח,1994,1
רפיח,1995,1
רפיח,2000,2
רפיח,2001,3
רפיח,2013,1
שבא,0,2
שבא,1950,1
שבא,1958,1
שבלי,1978,1
שבלי,1991,2
שדרות,0,5
שדרות,1975,2
שדרות,1994,2
שדרות,1998,5
שדרות,1999,1
שדרות,2004,1
שדרות,2006,2
שדרות,2008,1
שדרות,2013,3
שהם,0,1
שהם,1986,1
שוודיה,0,6
שוודיה,1984,2
שוודיה,1997,1
שוודיה,2000,1
שוודיה,2003,1
שוודיה,2011,1
שווייץ,0,4
שווייץ,1981,1
שווייץ,2000,3
שווייץ,2002,1
שווייץ,2017,1
שווייץ,2018,1
שוויץ,0,6
שוויץ,1994,1
שוויץ,1998,1
שוויץ,2002,2
שומרון,0,11
שומרון,1955,4
שומרון,1956,1
שומרון,1959,1
שומרון,1963,1
שומרון,1966,2
שומרון,1967,3
שומרון,1968,2
שומרון,1971,3
שומרון,1972,1
שומרון,1973,1
שומרון,1975,1
שומרון,1977,1
שומרון,1985,1
שומרון,1991,3
שומרון,1992,3
שומרון,2000,1
שומרון,2001,1
שומרון,2008,1
שומרון,2011,1
שומרון,2015,1
שיינקין,0,1
שיקאגו,0,2
שיקאגו,1986,1
שיקאגו,1990,2
שיקאגו,1994,1
שיקגו,0,3
שיקגו,1982,1
שכם,0,15
שכם,1952,1
שכם,1962,1
שכם,1966,1
שכם,1968,1
שכם,1970,2
שכם,2000,1
שכם,2001,1
שכם,2004,1
שכם,2005,1
שכם,2010,2
שכם,2012,1
שכם,2015,1
שנגחאי,0,3
שנגחאי,1994,1
שעריים,1955,2
שעריים,2009,2
שפלה,0,5
שפלה,2003,1
שפלה,2018,1
שרון,0,10
שרון,1950,1
שרון,1972,1
שרון,1977,1
שרון,1999,1
שרון,2000,1
שרון,2011,1
שרון,2015,1
שרון,2017,1
שרון,2018,1
תאילנד,0,9
תאילנד,1975,1
תאילנד,1989,1
תאילנד,1992,4
תאילנד,1996,1
תאילנד,2004,1
תאילנד,2005,1
תאילנד,2006,1
תאילנד,2009,3
תאילנד,2010,1
תאילנד,2011,1
תאילנד,2012,1
תאילנד,2014,2
תאילנד,2015,1
תאילנד,2016,1
תאילנד,2018,1
תוניס,0,7
תוניס,1967,1
תוניס,2000,2
תוניס,2001,1
תימן,0,33
תימן,1949,8
תימן,1958,2
תימן,1959,5
תימן,1960,1
תימן,1962,5
תימן,1966,2
תימן,1967,1
תימן,1968,2
תימן,1969,1
תימן,1972,2
תימן,1974,1
תימן,1975,1
תימן,1977,1
תימן,1978,1
תימן,1982,1
תימן,1986,2
תימן,1988,4
תימן,1992,4
תימן,1993,3
תימן,1994,1
תימן,1995,1
תימן,1996,1
תימן,1998,2
תימן,1999,3
תימן,2000,4
תימן,2001,3
תימן,2003,1
תימן,2004,1
תימן,2005,4
תימן,2006,1
תימן,2007,1
תימן,2008,1
תימן,2010,2
תימן,2012,1
תימן,2013,1
תימן,2015,1
תימן,2016,1
תימן,2017,1
תל אביב,0,376
תל אביב,1950,3
תל אביב,1954,1
תל אביב,1956,6
תל אביב,1957,2
תל אביב,1958,5
תל אביב,1959,10
תל אביב,1960,13
תל אביב,1961,1
תל אביב,1962,4
תל אביב,1964,5
תל אביב,1965,4
תל אביב,1966,4
תל אביב,1967,7
תל אביב,1968,13
תל אביב,1969,4
תל אביב,1970,1
תל אביב,1971,5
תל אביב,1972,4
תל אביב,1973,4
תל אביב,1974,6
תל אביב,1975,13
תל אביב,1976,3
תל אביב,1977,7
תל אביב,1978,4
תל אביב,1979,2
תל אביב,1980,3
תל אביב,1981,4
תל אביב,1982,10
תל אביב,1983,7
תל אביב,1984,5
תל אביב,1985,7
תל אביב,1986,7
תל אביב,1987,10
תל אביב,1988,15
תל אביב,1989,4
תל אביב,1990,6
תל אביב,1991,4
תל אביב,1992,10
תל אביב,1993,5
תל אביב,1994,9
תל אביב,1995,9
תל אביב,1996,7
תל אביב,1997,3
תל אביב,1998,23
תל אביב,1999,11
תל אביב,2000,25
תל אביב,2001,16
תל אביב,2002,14
תל אביב,2003,14
תל אביב,2004,14
תל אביב,2005,7
תל אביב,2006,27
תל אביב,2007,14
תל אביב,2008,19
תל אביב,2009,16
תל אביב,2010,13
תל אביב,2011,12
תל אביב,2012,3
תל אביב,2013,17
תל אביב,2014,11
תל אביב,2015,25
תל אביב,2016,28
תל אביב,2017,20
תל אביב,2018,5
תל אביב,2019,1
תל מונד,0,3
תל מונד,1965,2
תל מונד,1992,1
תקוע,0,1
תקוע,1974,2
